Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000962.3,1,1524,dnaA,plus,885041,
NC_000962.3,2052,3260,dnaN,plus,887092,
NC_000962.3,3280,4437,recF,plus,887089,
NC_000962.3,4434,4997,,plus,887088,
NC_000962.3,5240,7267,gyrB,plus,887081,
NC_000962.3,7302,9818,gyrA,plus,887105,
NC_000962.3,9914,10828,,plus,885982,
NC_000962.3,10887,10960,ileT,plus,2700464,
NC_000962.3,11112,11184,alaT,plus,2700469,
NC_000962.3,11874,12311,,minus,887085,
NC_000962.3,12468,13016,ppiA,plus,887087,
NC_000962.3,13133,13558,,minus,887082,
NC_000962.3,13714,13995,,minus,887074,
NC_000962.3,14089,14877,,plus,887083,
NC_000962.3,14914,15612,trpG,plus,885955,
NC_000962.3,15590,17470,pknB,minus,887072,
NC_000962.3,17467,18762,pknA,minus,885953,
NC_000962.3,18759,20234,pbpA,minus,887078,
NC_000962.3,20231,21640,rodA,minus,887075,
NC_000962.3,21637,23181,pstP,minus,887070,
NC_000962.3,23270,23737,fhaB,minus,887079,
NC_000962.3,23861,25444,fhaA,minus,887067,
NC_000962.3,25644,25726,leuT,plus,2700444,
NC_000962.3,25913,26881,,minus,887066,
NC_000962.3,27023,27442,whiB5,minus,887071,
NC_000962.3,27595,28365,,plus,887062,
NC_000962.3,28362,29207,,plus,887061,
NC_000962.3,29245,29607,,plus,887060,
NC_000962.3,29722,31068,,plus,887057,
NC_000962.3,31189,31506,,plus,887054,
NC_000962.3,31514,31819,,plus,885812,
NC_000962.3,32057,33154,,plus,887053,
NC_000962.3,33224,33553,,plus,887051,
NC_000962.3,34295,36610,bioF2,plus,887050,
NC_000962.3,36607,36870,acpA,plus,887052,
NC_000962.3,36867,37262,,plus,887046,
NC_000962.3,37259,38947,fadD34,plus,887048,
NC_000962.3,39056,39829,,minus,887043,
NC_000962.3,39877,41202,,minus,887042,
NC_000962.3,41304,41912,,plus,887045,
NC_000962.3,42004,42351,,minus,887038,
NC_000962.3,42433,43365,mtc28,minus,887037,
NC_000962.3,43562,46471,leuS,plus,887040,
NC_000962.3,46581,47207,,minus,887034,
NC_000962.3,47366,48100,,minus,887032,
NC_000962.3,48233,49027,,minus,887030,
NC_000962.3,49043,49939,,minus,887029,
NC_000962.3,50021,51124,ino1,minus,887028,
NC_000962.3,51185,51727,,minus,887031,
NC_000962.3,51828,52697,,minus,887027,
NC_000962.3,52831,53244,,plus,887024,
NC_000962.3,53663,55699,ponA1,plus,887065,
NC_000962.3,55696,57378,,plus,887018,
NC_000962.3,57410,57973,,plus,887015,
NC_000962.3,58192,58482,rpsF,plus,887020,
NC_000962.3,58586,59080,ssb,plus,887013,
NC_000962.3,59122,59376,rpsR1,plus,887022,
NC_000962.3,59409,59867,rplI,plus,887010,
NC_000962.3,59896,60417,,plus,887008,
NC_000962.3,60396,63020,dnaB,plus,887009,
NC_000962.3,63200,63892,,plus,887006,
